"self_id","name","state_id"
522,"Городня",24
523,"Ичня",24
524,"Козелець",24
525,"Короп",24
526,"Корюківка",24
527,"Куликівка",24
528,"Мена",24
529,"Ніжин",24
530,"Новгород-Сіверський",24
531,"Носівка",24
532,"Прилуки",24
533,"Ріпки",24
534,"Семенівка",24
535,"Сосниця",24
536,"Срібне",24
537,"Талалаївка",24
538,"Чернігів",24
539,"Щорс",24
